,ablation_step,instance,status,time,objective,message
0,ml_bounds,0,suboptimal,669.1151266098022,87.72249554860187,
1,affine_bounds,0,suboptimal,507.8339502811432,87.72172925163572,
2,initial_v_bounds,0,suboptimal,317.3889343738556,87.72172925163882,
3,tightened_v_bounds,0,optimal,2.5799317359924316,87.72172925163873,
4,baseline,0,optimal,2.206425189971924,87.72172925163905,
5,ml_bounds,1,suboptimal,584.2918446063995,163.70007178628006,
6,affine_bounds,1,suboptimal,619.0610463619232,163.70007178628015,
7,initial_v_bounds,1,suboptimal,478.33836007118225,163.7000717862801,
8,tightened_v_bounds,1,optimal,1.2131853103637695,163.7000717862807,
9,baseline,1,optimal,1.428917407989502,163.7000717862807,
10,ml_bounds,2,suboptimal,841.8751273155212,102.52344142134022,
11,affine_bounds,2,suboptimal,275.8817172050476,102.52344224810463,
12,initial_v_bounds,2,suboptimal,292.6898500919342,102.52344191667508,
13,tightened_v_bounds,2,optimal,3.136648178100586,102.52344142134051,
14,baseline,2,optimal,3.0181095600128174,102.5234414213407,
15,ml_bounds,3,suboptimal,660.0162780284882,100.11149489092676,
16,affine_bounds,3,suboptimal,221.29803681373596,100.11149489092693,
17,initial_v_bounds,3,suboptimal,129.42129039764404,100.11149489092723,
18,tightened_v_bounds,3,optimal,1.419140338897705,100.11149489092723,
19,baseline,3,optimal,1.2896759510040283,100.11149489092723,
20,ml_bounds,4,suboptimal,822.308750629425,85.49067991088572,
21,affine_bounds,4,suboptimal,280.94971346855164,85.49067991088549,
22,initial_v_bounds,4,error,1200.8456916809082,,Optimization failed with status code 9
23,tightened_v_bounds,4,optimal,2.2741024494171143,85.49067991088549,
24,baseline,4,optimal,2.2595086097717285,85.49071252208768,
25,ml_bounds,5,error,1200.1111662387848,,Optimization failed with status code 9
26,affine_bounds,5,suboptimal,489.6761016845703,96.91503264619831,
27,initial_v_bounds,5,suboptimal,340.82630586624146,96.91503264619827,
28,tightened_v_bounds,5,optimal,1.1101617813110352,96.91503264619864,
29,baseline,5,optimal,1.1114556789398193,96.91503264619864,
30,ml_bounds,6,suboptimal,1000.7630207538605,83.93859925882583,
31,affine_bounds,6,optimal,228.35681009292603,83.93859925882593,
32,initial_v_bounds,6,suboptimal,269.9770154953003,83.93859925882587,
33,tightened_v_bounds,6,optimal,0.9599692821502686,83.93859925882617,
34,baseline,6,optimal,0.9841957092285156,83.93859925882617,
35,ml_bounds,7,suboptimal,674.3158566951752,83.76000689187683,
36,affine_bounds,7,optimal,155.46702790260315,83.76000689187644,
37,initial_v_bounds,7,suboptimal,280.185183763504,83.76004003187181,
38,tightened_v_bounds,7,optimal,2.8783721923828125,83.76000689187673,
39,baseline,7,optimal,3.5173110961914062,83.7600068918772,
40,ml_bounds,8,error,1200.087155342102,,Optimization failed with status code 9
41,affine_bounds,8,optimal,256.19761323928833,121.42574475249975,
42,initial_v_bounds,8,optimal,481.70435643196106,121.4257447524993,
43,tightened_v_bounds,8,optimal,1.536020278930664,121.42574475249974,
44,baseline,8,optimal,1.59627103805542,121.42574475249974,
45,ml_bounds,9,suboptimal,588.6015708446503,56.97529462149625,
46,affine_bounds,9,suboptimal,172.27426886558533,56.97529462149595,
47,initial_v_bounds,9,suboptimal,164.5684733390808,56.97529462149622,
48,tightened_v_bounds,9,optimal,3.207440137863159,56.9752946214963,
49,baseline,9,optimal,3.4030516147613525,56.97529462149665,
