,n_states,instance,method,status,time,objective,message
0,5,0,direct,optimal,0.031252384185791016,186.35447692238378,
1,5,0,decomp,optimal,0.037741661071777344,186.35447692238378,
2,5,1,direct,optimal,0.0312504768371582,133.3308609997571,
3,5,1,decomp,optimal,0.037755489349365234,133.33086099975688,
4,5,2,direct,suboptimal,0.031249284744262695,122.77658270077342,
5,5,2,decomp,optimal,0.02213120460510254,122.77658270077342,
6,5,3,direct,optimal,0.03124690055847168,109.51159892684805,
7,5,3,decomp,optimal,0.022133588790893555,109.5115989268478,
8,5,4,direct,suboptimal,0.031250715255737305,161.93823389381566,
9,5,4,decomp,optimal,0.02213454246520996,161.9382338938152,
10,5,5,direct,suboptimal,0.04687833786010742,102.1186481496286,
11,5,5,decomp,optimal,0.0377657413482666,102.1186481496286,
12,5,6,direct,optimal,0.01562047004699707,137.05442894164815,
13,5,6,decomp,optimal,0.022130727767944336,137.05442894164767,
14,5,7,direct,optimal,0.015625,206.1014244123896,
15,5,7,decomp,optimal,0.02213001251220703,206.1014244123896,
16,5,8,direct,optimal,0.03125405311584473,91.38952000687291,
17,5,8,decomp,optimal,0.022142887115478516,91.38952000687313,
18,5,9,direct,suboptimal,0.0468747615814209,147.28116556122657,
19,5,9,decomp,optimal,0.022145748138427734,147.28116556122612,
20,10,0,direct,suboptimal,0.05337882041931152,118.23712529631807,
21,10,0,decomp,optimal,0.0312504768371582,118.23712529631807,
22,10,1,direct,optimal,0.053391218185424805,163.95451248316223,
23,10,1,decomp,optimal,0.031256675720214844,163.9545124831622,
24,10,2,direct,optimal,0.04688405990600586,109.41627721567424,
25,10,2,decomp,optimal,0.03125953674316406,109.41627721567404,
26,10,3,direct,optimal,0.03776097297668457,130.77082111458344,
27,10,3,decomp,optimal,0.03125,130.77082111458344,
28,10,4,direct,suboptimal,0.037780046463012695,220.14317671377609,
29,10,4,decomp,optimal,0.03125619888305664,220.14317671377665,
30,10,5,direct,suboptimal,0.046875,182.77149283633045,
31,10,5,decomp,optimal,0.022136688232421875,182.77149283633048,
32,10,6,direct,optimal,0.046874046325683594,118.7409402052495,
33,10,6,decomp,optimal,0.03125929832458496,118.74094020524933,
34,10,7,direct,optimal,0.047899484634399414,93.20911760900445,
35,10,7,decomp,optimal,0.031250715255737305,93.20911760900431,
36,10,8,direct,optimal,0.06251120567321777,173.04357954670476,
37,10,8,decomp,optimal,0.02213454246520996,173.04357954670476,
38,10,9,direct,optimal,0.05338096618652344,185.16978911640078,
39,10,9,decomp,optimal,0.031249523162841797,185.16978911640078,
40,20,0,direct,optimal,0.07813119888305664,151.04730690224534,
41,20,0,decomp,optimal,0.06250905990600586,151.0473069022451,
42,20,1,direct,suboptimal,0.0624997615814209,126.84136036288736,
43,20,1,decomp,optimal,0.04687380790710449,126.84136036288734,
44,20,2,direct,optimal,0.08463168144226074,76.75790727119127,
45,20,2,decomp,optimal,0.0468747615814209,76.75790727119127,
46,20,3,direct,optimal,0.11589193344116211,122.617003163272,
47,20,3,decomp,optimal,0.0533900260925293,122.617003163272,
48,20,4,direct,optimal,0.08464217185974121,102.35641608560705,
49,20,4,decomp,optimal,0.0468745231628418,102.35641608560704,
50,20,5,direct,suboptimal,0.0624995231628418,104.14959424892263,
51,20,5,decomp,optimal,0.04687356948852539,104.14959424892263,
52,20,6,direct,suboptimal,0.08463358879089355,153.07461449674497,
53,20,6,decomp,optimal,0.06900644302368164,153.07461449674497,
54,20,7,direct,optimal,0.08439493179321289,63.117488731483384,
55,20,7,decomp,optimal,0.06251096725463867,63.11748873148338,
56,20,8,direct,optimal,0.08463191986083984,211.97791398979476,
57,20,8,decomp,optimal,0.046874284744262695,211.97791398979476,
58,20,9,direct,optimal,0.06901025772094727,72.46332141739677,
59,20,9,decomp,optimal,0.06252169609069824,72.46332141739667,
60,50,0,direct,optimal,0.46529102325439453,189.00134156297784,
61,50,0,decomp,optimal,0.23019766807556152,189.00134156297784,
62,50,1,direct,optimal,0.546867847442627,130.7818994896815,
63,50,1,decomp,optimal,0.2401752471923828,130.78189948968156,
64,50,2,direct,optimal,0.4160490036010742,155.75269095163924,
65,50,2,decomp,optimal,0.23217463493347168,155.75269095163895,
66,50,3,direct,optimal,0.4054298400878906,151.50183307684625,
67,50,3,decomp,optimal,0.22220778465270996,151.50183307684605,
68,50,4,direct,optimal,0.5319516658782959,97.05851433325897,
69,50,4,decomp,optimal,0.22241926193237305,97.058514333259,
70,50,5,direct,optimal,0.362072229385376,88.42971299186989,
71,50,5,decomp,optimal,0.21193313598632812,88.4297129918699,
72,50,6,direct,optimal,0.4816567897796631,29.5154363185515,
73,50,6,decomp,optimal,0.24241948127746582,29.515436318551497,
74,50,7,direct,optimal,0.691373348236084,123.1125172011867,
75,50,7,decomp,optimal,0.2518608570098877,123.1125172011867,
76,50,8,direct,optimal,0.5148453712463379,144.79860754863378,
77,50,8,decomp,optimal,0.24191999435424805,144.7986075486336,
78,50,9,direct,optimal,0.5704436302185059,43.1138233445082,
