,depth,instance,method,status,time,objective,message
0,2,0,direct,optimal,0.853283167,11.70100862,
1,2,0,decomp,optimal,0.115888596,11.70100862,
2,2,1,direct,optimal,0.673124552,7.888475101,
3,2,1,decomp,optimal,0.115919828,7.888473487,
4,2,2,direct,optimal,0.479005337,31.8781074,
5,2,2,decomp,optimal,0.131519556,31.87810644,
6,2,3,direct,optimal,0.84903264,26.95244862,
7,2,3,decomp,optimal,0.106789112,26.95244862,
8,2,4,direct,suboptimal,0.701369524,10.84044767,
9,2,4,decomp,optimal,0.115894556,10.84044732,
10,2,5,direct,optimal,0.632899761,10.67113001,
11,2,5,decomp,optimal,0.100260735,10.67113001,
12,2,6,direct,suboptimal,0.755126715,35.64785825,
13,2,6,decomp,optimal,0.131529093,35.64785825,
14,2,7,direct,optimal,0.554736137,21.61177875,
15,2,7,decomp,optimal,0.115888357,21.61177875,
16,2,8,direct,optimal,0.949323893,13.70332208,
17,2,8,decomp,optimal,1.039979219,13.70332208,
18,2,9,direct,suboptimal,0.833423376,14.21790654,
19,2,9,decomp,optimal,1.065359354,14.21790637,
20,3,0,direct,optimal,3.030872583,7.238125725,
21,3,0,decomp,optimal,0.1940341,7.238125725,
22,3,1,direct,suboptimal,2.143372059,27.80618287,
23,3,1,decomp,optimal,0.147134066,27.80618287,
24,3,2,direct,optimal,1.873951674,15.65482032,
25,3,2,decomp,optimal,0.16929245,15.65482032,
26,3,3,direct,suboptimal,2.891597748,21.54588377,
27,3,3,decomp,optimal,0.15367794,21.54588377,
28,3,4,direct,optimal,1.134266615,27.9014209,
29,3,4,decomp,optimal,0.153676271,27.9014209,
30,3,5,direct,suboptimal,3.309764385,26.34123692,
31,3,5,decomp,optimal,0.15726757,26.34123692,
32,3,6,direct,optimal,1.095877171,21.18068057,
33,3,6,decomp,optimal,0.168771505,21.18068057,
34,3,7,direct,optimal,2.670425892,51.6299393,
35,3,7,decomp,optimal,0.197784662,51.62993927,
36,3,8,direct,optimal,0.915219545,18.72911888,
37,3,8,decomp,optimal,0.142028093,18.72911888,
38,3,9,direct,suboptimal,5.668046474,18.09473721,
39,3,9,decomp,optimal,0.184905529,18.09473528,
40,4,0,direct,optimal,3.762915373,13.34974034,
41,4,0,decomp,optimal,0.200530529,13.34973635,
42,4,1,direct,optimal,2.042977095,10.1854043,
43,4,1,decomp,optimal,0.200587749,10.1854038,
44,4,2,direct,suboptimal,8.174817801,51.53255046,
45,4,2,decomp,optimal,0.222518682,51.53255046,
46,4,3,direct,optimal,4.195818186,43.81755664,
47,4,3,decomp,optimal,0.137308836,43.8175556,
48,4,4,direct,suboptimal,5.025594711,85.10428716,
49,4,4,decomp,optimal,0.084635496,85.10428716,
50,4,5,direct,suboptimal,8.776030064,38.82521755,
51,4,5,decomp,optimal,0.216168642,38.82521755,
52,4,6,direct,suboptimal,4.628650904,25.12111201,
53,4,6,decomp,optimal,0.232485056,25.12111144,
54,4,7,direct,suboptimal,2.866153479,27.68998254,
55,4,7,decomp,optimal,0.148162603,27.68998254,
56,4,8,direct,suboptimal,4.444997072,42.23434305,
57,4,8,decomp,optimal,0.184737921,42.23434305,
58,4,9,direct,optimal,3.562213421,37.88466454,
59,4,9,decomp,optimal,0.200543165,37.88466159,
60,6,0,direct,suboptimal,92.01971889,39.96691599,
61,6,0,decomp,optimal,0.563281298,39.96691599,
62,6,1,direct,suboptimal,25.9434824,29.92398498,
63,6,1,decomp,optimal,0.710778713,29.92398498,
64,6,2,direct,optimal,60.65873003,88.62060219,
65,6,2,decomp,optimal,0.578405142,88.62060219,
66,6,3,direct,optimal,106.3841963,32.92980395,
67,6,3,decomp,optimal,0.717124701,32.92980395,
68,6,4,direct,suboptimal,106.6232035,58.59250984,
69,6,4,decomp,optimal,1.100526094,58.59250984,
70,6,5,direct,suboptimal,57.61819935,17.05065274,
71,6,5,decomp,optimal,0.675848007,17.05065247,
72,6,6,direct,suboptimal,227.6811998,72.51666573,
73,6,6,decomp,optimal,0.710580111,72.51666573,
74,6,7,direct,optimal,40.70738959,33.07618761,
75,6,7,decomp,optimal,0.466086864,33.07617335,
76,6,8,direct,suboptimal,105.4231362,39.85901534,
77,6,8,decomp,optimal,0.651512861,39.85901534,
78,6,9,direct,suboptimal,105.6390707,20.47565099,
79,6,9,decomp,optimal,0.553553104,20.47565099,
80,8,0,direct,suboptimal,576.4354677,53.70337567,
81,8,0,decomp,optimal,0.82890296,53.70337567,
82,8,1,direct,optimal,349.8567216,118.4329568,
83,8,1,decomp,optimal,1.008404255,118.4329568,
84,8,2,direct,suboptimal,561.8645465,81.10105471,
85,8,2,decomp,optimal,2.621523619,81.10105471,
86,8,3,direct,suboptimal,531.0372651,93.38687143,
87,8,3,decomp,optimal,1.94540906,93.38687143,
88,8,4,direct,suboptimal,642.781986,92.95925055,
89,8,4,decomp,optimal,1.359436512,92.95924733,
90,8,5,direct,suboptimal,834.9094284,89.42910126,
91,8,5,decomp,optimal,3.068991899,89.42910126,
92,8,6,direct,suboptimal,552.6272056,87.88699349,
93,8,6,decomp,optimal,2.828925133,87.88699349,
94,8,7,direct,suboptimal,1003.555275,149.9785663,
95,8,7,decomp,optimal,0.984456539,149.9785663,
96,8,8,direct,suboptimal,799.9225495,110.3572991,
97,8,8,decomp,optimal,1.396665335,110.3572991,
98,8,9,direct,suboptimal,1146.157359,74.95565911,
99,8,9,decomp,optimal,3.464892387,74.95565911,
